ticker,exchange,name,market_value,sector,date_of_listing
MG,TSX,Magna International Inc.,20815276198,Industrial Products & Services,1962-12-20
MEQ,TSX,Mainstreet Equity Corp.,582136347,Real Estate,2000-05-31
MDI,TSX,Major Drilling Group International Inc.,415953917,Industrial Products & Services,1995-03-08
MFC,TSX,Manulife Financial Corporation,46265736032,Financial Services,1999-09-30
MFI,TSX,Maple Leaf Foods Inc.,3941958929,Consumer Products & Services,1995-04-24
MRE,TSX,Martinrea International Inc.,845246132,Industrial Products & Services,1997-09-19
MAXR,TSX,Maxar Technologies Inc.,558999768,Technology,2000-07-12
MKP,TSX,MCAN Mortgage Corporation,381001615,Financial Services,1992-01-16
MCB,TSX,McCoy Global Inc.,13085366,Industrial Products & Services,1997-11-18
MDF,TSX,Mediagrif Interactive Technologies Inc.,77659114,Technology,2000-10-03
MRD,TSX,Melcor Developments Ltd.,410701645,Real Estate,1972-06-27
MX,TSX,Methanex Corporation,3290349213,Industrial Products & Services,1973-07-06
MRU,TSX,Metro Inc.,14382093355,Consumer Products & Services,1993-01-19
MBX,TSX,Microbix Biosystems Inc.,23758313,Life Sciences,1992-10-01
MID,TSX,MINT Income Fund,118856216,Closed-End Funds,1997-03-13
TPX,TSX,Molson Coors Canada Inc.,1258457394,Consumer Products & Services,1945-03-02
ME,TSX,Moneta Porcupine Mines Inc.,33469028,Mining,1911-07-01
MRC,TSX,Morguard Corporation,2222734197,Real Estate,1962-06-14
MRT,TSX,Morguard Real Estate Investment Trust,856528573,Real Estate,1997-10-10
MPVD,TSX,Mountain Province Diamonds Inc.,218542974,Mining,1999-01-22
MTL,TSX,Mullen Group Ltd.,1067056758,Industrial Products & Services,1993-12-13
NA,TSX,National Bank of Canada,22993740736,Financial Services,1979-11-01
NGD,TSX,New Gold Inc.,1002569284,Mining,2002-12-31
BCI,TSX,New Look Vision Group Inc.,503924773,Consumer Products & Services,1999-12-06
NIF,TSX,Noranda Income Fund,60358860,Mining,2002-05-02
OSB,TSX,Norbord Inc.,2658312377,Industrial Products & Services,1987-07-07
PDL,TSX,North American Palladium Ltd.,927330740,Mining,1968-12-19
NWC,TSX,North West Company Inc.,1520348284,Consumer Products & Services,1997-04-07
NPI,TSX,Northland Power Inc.,4881882316,Clean Technology,1997-04-15
NZC,TSX,NorZinc Ltd.,38969536,Mining,1993-12-07
